sample_category	sample_name	Run	filename
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc124	SRR14113560	msns05794.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc125	SRR14113559	msns05795.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc126	SRR14113558	msns05797.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc127	SRR14113557	msns05798.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc128	SRR14113025	msns05799.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc129	SRR14113024	msns05800.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc13	SRR14113564	msns05725.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc130	SRR14113023	msns05801.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc131	SRR14113021	msns05719.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc132	SRR14113020	msns05802.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc133	SRR14113019	msns05803.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc134	SRR14113018	msns05804.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc135	SRR14113017	msns05805.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc136	SRR14113016	msns05806.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc137	SRR14113015	msns05807.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc138	SRR14113014	msns05808.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc139	SRR14113013	msns05809.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc14	SRR14113022	msns05868.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc140	SRR14113012	msns05810.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc141	SRR14113010	msns05811.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc142	SRR14113009	msns05720.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc143	SRR14113008	msns05812.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc144	SRR14113007	msns05813.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc145	SRR14113006	msns05815.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc146	SRR14113005	msns05816.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc147	SRR14113004	msns05818.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc148	SRR14113003	msns05821.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc149	SRR14113002	msns05822.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc15	SRR14113011	msns05869.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc150	SRR14113001	msns05823.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc151	SRR14112999	msns05824.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc152	SRR14112998	msns05825.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc153	SRR14112997	msns05721.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc154	SRR14112996	msns05826.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc155	SRR14112995	msns05827.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc156	SRR14112994	msns05829.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc157	SRR14113492	msns05830.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc158	SRR14113491	msns05831.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc159	SRR14113490	msns05832.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc16	SRR14113000	msns05870.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc160	SRR14113489	msns05833.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc161	SRR14113487	msns05834.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc162	SRR14113486	msns05836.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc163	SRR14113485	msns05838.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc164	SRR14113484	msns05722.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc165	SRR14113483	msns05839.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc166	SRR14113482	msns05843.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc167	SRR14113481	msns05844.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc168	SRR14113480	msns05845.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc169	SRR14113479	msns05846.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc17	SRR14113488	msns05872.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc170	SRR14113478	msns05847.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc171	SRR14113476	msns05848.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc172	SRR14113475	msns05849.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc173	SRR14113474	msns05851.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc174	SRR14113473	msns05853.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc18	SRR14113477	msns05873.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc19	SRR14113466	msns05874.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc2	SRR14113587	msns05723.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc20	SRR14113423	msns05875.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc21	SRR14113411	msns05876.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc22	SRR14113400	msns05879.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc23	SRR14113293	msns05880.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc24	SRR14113282	msns05726.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc25	SRR14113271	msns05881.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc26	SRR14113225	msns05882.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc27	SRR14113214	msns05883.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc28	SRR14113203	msns05884.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc29	SRR14112933	msns05886.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc3	SRR14113412	msns05854.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc30	SRR14112922	msns05887.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc31	SRR14113137	msns05888.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc32	SRR14113126	msns05889.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc33	SRR14113115	msns05891.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc34	SRR14112992	msns05897.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc35	SRR14112981	msns05728.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc36	SRR14112970	msns05900.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc37	SRR14112780	msns05901.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc38	SRR14112769	msns05902.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc39	SRR14112758	msns07978.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc4	SRR14112911	msns05855.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc40	SRR14113521	msns07979.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc41	SRR14113509	msns07980.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc42	SRR14113498	msns07981.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc43	SRR14112873	msns07982.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc44	SRR14112862	msns07983.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc45	SRR14112851	msns07984.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc46	SRR14113099	msns05730.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc47	SRR14113088	msns07985.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc48	SRR14113077	msns07986.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc49	SRR14112743	msns07987.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc5	SRR14113510	msns05857.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc50	SRR14112732	msns07988.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc51	SRR14112720	msns07989.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc52	SRR14113192	msns07990.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc53	SRR14113181	msns07991.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc54	SRR14113170	msns07992.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc55	SRR14113258	msns07993.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc56	SRR14113036	msns07994.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc57	SRR14112814	msns05731.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc58	SRR14112803	msns07995.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc59	SRR14112792	msns07996.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc6	SRR14112721	msns05860.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc60	SRR14113168	msns07997.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc61	SRR14113156	msns07998.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc62	SRR14113145	msns07999.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc63	SRR14113393	msns08000.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc64	SRR14113382	msns08001.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc65	SRR14113371	msns08002.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc66	SRR14112714	msns08003.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc67	SRR14113250	msns08004.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc68	SRR14113239	msns05733.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc69	SRR14113327	msns08005.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc7	SRR14113157	msns05862.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc70	SRR14113316	msns08006.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc71	SRR14113304	msns08007.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc72	SRR14113453	msns08008.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc73	SRR14113442	msns08009.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc74	SRR14113431	msns08010.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc75	SRR14112838	msns08011.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc76	SRR14112827	msns08012.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc77	SRR14112816	msns08013.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc78	SRR14113547	msns08014.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc79	SRR14113536	msns05735.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc8	SRR14113305	msns05863.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc80	SRR14113525	msns08015.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc81	SRR14113353	msns08016.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc82	SRR14113342	msns08017.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc83	SRR14113072	msns08018.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc84	SRR14113061	msns08019.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc85	SRR14113050	msns05737.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc86	SRR14112908	msns05738.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc87	SRR14112897	msns05713.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc88	SRR14112887	msns05739.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc89	SRR14112959	msns05740.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc9	SRR14113354	msns05864.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc90	SRR14112954	msns05741.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc91	SRR14112952	msns05742.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc92	SRR14112951	msns05746.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc93	SRR14112950	msns05747.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc94	SRR14112949	msns05751.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc95	SRR14112948	msns05752.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc96	SRR14112947	msns05753.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc97	SRR14112946	msns05754.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc98	SRR14112945	msns05714.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc99	SRR14112944	msns05755.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc1	SRR14113472	msns07324.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc10	SRR14113462	msns07343.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc11	SRR14113461	msns07344.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc12	SRR14113428	msns07325.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc13	SRR14113427	msns07345.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc14	SRR14113426	msns07346.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc15	SRR14113425	msns07347.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc16	SRR14113424	msns07348.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc17	SRR14113422	msns07349.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc18	SRR14113421	msns07351.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc19	SRR14113420	msns07352.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc2	SRR14113471	msns07333.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc20	SRR14113419	msns07353.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc21	SRR14113418	msns07354.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc22	SRR14113417	msns07355.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc23	SRR14113416	msns07326.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc24	SRR14113415	msns07356.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc25	SRR14113414	msns07358.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc26	SRR14113413	msns07359.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc27	SRR14113410	msns07360.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc28	SRR14113409	msns07361.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc29	SRR14113408	msns07362.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc3	SRR14113470	msns07335.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc30	SRR14113407	msns07363.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc31	SRR14113406	msns07364.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc32	SRR14113405	msns07365.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc33	SRR14113404	msns07366.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc34	SRR14113403	msns07327.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc35	SRR14113402	msns07367.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc36	SRR14113401	msns07368.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc37	SRR14113399	msns07369.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc38	SRR14113398	msns07370.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc39	SRR14113397	msns07371.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc4	SRR14113469	msns07337.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc40	SRR14113300	msns07372.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc41	SRR14113299	msns07373.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc42	SRR14113298	msns07374.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc43	SRR14113297	msns07375.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc44	SRR14113296	msns07376.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc45	SRR14113295	msns07328.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc46	SRR14113294	msns07377.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc47	SRR14113292	msns07380.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc48	SRR14113291	msns07381.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc49	SRR14113290	msns07382.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc5	SRR14113468	msns07338.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc50	SRR14113289	msns07383.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc51	SRR14113288	msns07384.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc52	SRR14113287	msns07385.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc53	SRR14113286	msns07386.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc54	SRR14113285	msns07387.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc55	SRR14113284	msns07388.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc56	SRR14113283	msns07329.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc57	SRR14113281	msns07389.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc58	SRR14113280	msns07390.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc59	SRR14113279	msns07391.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc6	SRR14113467	msns07339.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc60	SRR14113278	msns07392.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc61	SRR14113277	msns07393.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc62	SRR14113276	msns07394.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc63	SRR14113275	msns07395.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc64	SRR14113274	msns07396.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc65	SRR14113273	msns07397.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc66	SRR14113272	msns07398.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc67	SRR14113270	msns07330.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc68	SRR14113269	msns07400.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc69	SRR14113233	msns07401.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc7	SRR14113465	msns07340.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc70	SRR14113232	msns07403.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc71	SRR14113231	msns07404.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc72	SRR14113230	msns07405.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc73	SRR14113229	msns07406.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc74	SRR14113228	msns07407.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc75	SRR14113227	msns07408.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc76	SRR14113226	msns07409.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc77	SRR14113224	msns07410.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc78	SRR14113223	msns07331.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc79	SRR14113222	msns07411.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc8	SRR14113464	msns07341.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc80	SRR14113221	msns07412.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc81	SRR14113220	msns07413.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc82	SRR14113219	msns07414.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc83	SRR14113218	msns07415.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc84	SRR14113217	msns07416.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc85	SRR14113216	msns07417.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc86	SRR14113215	msns07419.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc87	SRR14113213	msns08020.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc88	SRR14113212	msns08021.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc89	SRR14113211	msns07332.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc9	SRR14113463	msns07342.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc90	SRR14113210	msns08022.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc91	SRR14113209	msns08023.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc92	SRR14113208	msns08024.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc93	SRR14113207	msns08025.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor2.SP.sc94	SRR14113206	msns08026.fastq.gz
